GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
VertDrop_V2,com.vertdrop_v2.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
VertDrop_V2,com.vertdrop_v2.exception,GlobalExceptionHandler,126,3,0,0,32,1,6,1,6,1
VertDrop_V2,com.vertdrop_v2.security,OAuth2SuccessHandler,282,4,12,0,62,1,9,1,3,1
VertDrop_V2,com.vertdrop_v2.security,CustomOAuth2User,14,0,0,0,4,0,4,0,4,0
VertDrop_V2,com.vertdrop_v2.security,JwtServiceImpl,145,7,10,0,37,2,14,2,9,2
VertDrop_V2,com.vertdrop_v2.security,JwtAuthenticationFilter,107,4,18,0,29,1,10,1,1,1
VertDrop_V2,com.vertdrop_v2.security,CustomUserDetailsService,15,6,0,0,2,3,2,1,2,1
VertDrop_V2,com.vertdrop_v2.security,CustomOAuth2UserService,348,4,31,0,74,1,27,1,10,1
VertDrop_V2,com.vertdrop_v2.entity,AuthProvider,0,33,0,0,0,6,0,1,0,1
VertDrop_V2,com.vertdrop_v2.entity,Role,3,0,0,0,1,0,1,0,1,0
VertDrop_V2,com.vertdrop_v2.entity,StatutColis,0,33,0,0,0,6,0,1,0,1
VertDrop_V2,com.vertdrop_v2.entity,User,107,0,16,0,23,0,20,0,12,0
VertDrop_V2,com.vertdrop_v2.entity,ColisProduitId,3,0,0,0,1,0,1,0,1,0
VertDrop_V2,com.vertdrop_v2,VertDropV2Application,5,3,0,0,2,1,1,1,1,1
VertDrop_V2,com.vertdrop_v2.dto,UserDTO,38,0,12,0,8,0,8,0,2,0
VertDrop_V2,com.vertdrop_v2.mapper,LivreurMapperImpl,74,3,4,0,20,1,4,1,2,1
VertDrop_V2,com.vertdrop_v2.mapper,ProduitMapperImpl,60,3,4,0,18,1,4,1,2,1
VertDrop_V2,com.vertdrop_v2.mapper,ZoneMapper,20,0,4,0,6,0,4,0,2,0
VertDrop_V2,com.vertdrop_v2.mapper,ZoneMapperImpl,44,3,4,0,14,1,4,1,2,1
VertDrop_V2,com.vertdrop_v2.mapper,ColisProduitMapperImpl,58,3,4,0,16,1,4,1,2,1
VertDrop_V2,com.vertdrop_v2.mapper,ClientExpediteurMapperImpl,68,3,4,0,20,1,4,1,2,1
VertDrop_V2,com.vertdrop_v2.mapper,DestinataireMapperImpl,68,3,4,0,20,1,4,1,2,1
VertDrop_V2,com.vertdrop_v2.mapper,HistoriqueLivraisonMapperImpl,26,3,2,0,8,1,2,1,1,1
VertDrop_V2,com.vertdrop_v2.mapper,ColisMapperImpl,206,3,14,0,48,1,12,1,5,1
VertDrop_V2,com.vertdrop_v2.service,AuthService,64,9,12,0,20,4,11,1,5,1
VertDrop_V2,com.vertdrop_v2.config,SecurityConfig,0,186,0,0,0,28,0,10,0,10
VertDrop_V2,com.vertdrop_v2.config,PasswordEncoderConfig,0,7,0,0,0,2,0,2,0,2
VertDrop_V2,com.vertdrop_v2.config,BusinessDataInitializer,412,84,25,5,93,24,20,4,5,4
VertDrop_V2,com.vertdrop_v2.config,DataInitializer,205,77,3,3,60,23,4,3,1,3
VertDrop_V2,com.vertdrop_v2.config,PermissionInitializer,217,26,1,1,40,9,8,3,7,3
VertDrop_V2,com.vertdrop_v2.controller,ProduitController,94,10,0,0,18,4,8,2,8,2
VertDrop_V2,com.vertdrop_v2.controller,RolePermissionController,28,6,0,0,6,3,4,1,4,1
VertDrop_V2,com.vertdrop_v2.controller,PermissionController,34,6,0,0,8,3,4,1,4,1
VertDrop_V2,com.vertdrop_v2.controller,LivreurController,247,16,12,0,50,6,24,2,18,2
VertDrop_V2,com.vertdrop_v2.controller,ZoneController,94,10,0,0,18,4,8,2,8,2
VertDrop_V2,com.vertdrop_v2.controller,ColisController,552,16,50,0,102,6,52,2,27,2
VertDrop_V2,com.vertdrop_v2.controller,DestinataireController,94,10,0,0,18,4,8,2,8,2
VertDrop_V2,com.vertdrop_v2.controller,AuthController,251,4,4,0,55,1,7,1,5,1
VertDrop_V2,com.vertdrop_v2.controller,ClientController,177,13,8,0,35,5,17,2,13,2
VertDrop_V2,com.vertdrop_v2.service.impl,LivreurServiceImpl,48,9,0,0,9,4,4,1,4,1
VertDrop_V2,com.vertdrop_v2.service.impl,ZoneServiceImpl,48,9,0,0,9,4,4,1,4,1
VertDrop_V2,com.vertdrop_v2.service.impl,ProduitServiceImpl,48,9,0,0,9,4,4,1,4,1
VertDrop_V2,com.vertdrop_v2.service.impl,DestinataireServiceImpl,48,9,0,0,9,4,4,1,4,1
VertDrop_V2,com.vertdrop_v2.service.impl,ClientServiceImpl,48,9,0,0,9,4,4,1,4,1
VertDrop_V2,com.vertdrop_v2.service.impl,RolePermissionServiceImpl,159,9,0,0,25,4,12,1,12,1
VertDrop_V2,com.vertdrop_v2.service.impl,PermissionServiceImpl,0,76,0,2,0,20,0,7,0,6
VertDrop_V2,com.vertdrop_v2.service.impl,ColisServiceImpl,578,21,36,0,120,8,37,1,19,1
